job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_3_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,4.668786614,35.620849,1.533768235,108.429773,4.524884,error_analysis_3_0_0,0.234572612511278,38.33842677900937,53929,0,0,1.0,1.0,1.0
compression_3_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,4.83871371,34.369907,1.378667385,120.628184,4.963214,error_analysis_3_1_0,0.4669887785352929,35.34813537804488,52030,747,1899,0.985846,0.964787,0.975202
compression_3_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,4.386996881,37.908881,1.303160135,127.61758,5.546152,error_analysis_3_2_0,1.878470340239505,29.303156404148968,53816,246,113,0.995449,0.997904,0.996674
compression_3_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,4.268094354,38.964964,1.164612557,142.799544,6.310165,error_analysis_3_3_0,1.9794728745155727,29.075704278326278,42553,438,11376,0.989811,0.789055,0.878104
compression_3_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,4.348367628,38.245649,1.08810183,152.840605,6.702673,error_analysis_3_4_0,46.64736601070074,15.352928567451944,41975,1255,11954,0.970969,0.778338,0.864047
compression_3_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,4.282746494,38.831657,1.080690157,153.888829,7.093138,error_analysis_3_5_0,17.371684127826004,19.642780587415416,44071,31840,9858,0.580561,0.817204,0.678849
compression_3_6_0,spring_-c_-l_-q_ill_bin,5.067068413,32.820978,2.899195893,57.362851,7.726746,error_analysis_3_6_0,4.908984862483353,25.131282897595764,53837,486,92,0.991053,0.998294,0.99466
compression_3_10_0,fqzcomp_-Q_1,2.838720419,58.584896,3.438269422,48.369142,7.293912,error_analysis_3_10_0,0.6008948180836091,34.25321523837224,53139,3543,790,0.937493,0.985351,0.960825
compression_3_11_0,fqzcomp_-Q_2,2.805132396,59.286379,3.270996559,50.842652,7.849348,error_analysis_3_11_0,2.2488055930836945,28.52168069906076,52854,678,1075,0.987334,0.980066,0.983686
compression_3_12_0,fqzcomp_-Q_3,2.744672177,60.592352,3.323039633,50.046391,8.176379,error_analysis_3_12_0,5.004050378015696,25.04798309375531,52215,8776,1714,0.856109,0.968217,0.908718
compression_3_13_0,fqzcomp_-Q_5,2.714130279,61.274193,3.31712138,50.135682,8.56562,error_analysis_3_13_0,14.054252630048577,20.56312226791144,6185,379,47744,0.94226,0.114687,0.204483
compression_3_7_0,spring_-c_-l_-q_qvz_1,197.426519149,0.842369,3.028085012,54.921226,7.404238,error_analysis_3_7_0,3.2590122829683303,26.910339853649702,50394,23110,3535,0.685595,0.93445,0.790908
compression_3_8_0,spring_-c_-l_-q_qvz_2,208.281939684,0.798466,3.267666292,50.894469,6.141272,error_analysis_3_8_0,0.4194916441736245,35.81396668088174,51608,3677,2321,0.93349,0.956961,0.945079
compression_3_9_0,spring_-c_-l_-q_qvz_4,218.077021898,0.762602,3.155513054,52.70336,5.93371,error_analysis_3_9_0,0.0021823949688678,58.65186630868809,53574,253,355,0.995299,0.993417,0.994356
