job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_5_0,spring_-c_-l_-q_ill_bin,0.96398325,16.749548,0.579008896,27.886072,8.985758,error_analysis_0_5_0,1.3717798039215687,30.668355780028143,7805,2,10,0.999743,0.99872,0.99923
compression_0_9_0,fqzcomp_-Q_2,0.32186313,50.165062,0.374940019,43.063645,9.953993,error_analysis_0_9_0,3.3989643137254903,26.72773377776736,7763,9,52,0.998841,0.993346,0.996085
compression_0_10_0,fqzcomp_-Q_3,0.308385244,52.357511,0.367537039,43.931039,10.264675,error_analysis_0_10_0,7.613531568627451,23.2253382982802,7699,47,116,0.993932,0.985156,0.989524
compression_0_11_0,fqzcomp_-Q_5,0.300006788,53.819728,0.37769644,42.749367,10.650274,error_analysis_0_11_0,21.36164137254902,18.74485362967302,3375,7,4440,0.99793,0.431861,0.602839
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,0.580403612,27.819061,0.183450781,88.014255,6.808997,error_analysis_0_0_0,0.1961517647058823,39.11527762983746,7815,10,0,0.998722,1.0,0.99936
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,0.679042804,23.778006,0.152854973,105.631394,7.561093,error_analysis_0_1_0,1.12046,31.54723625657541,7370,25,445,0.996619,0.943058,0.969098
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,0.469611644,34.382205,0.131294237,122.977857,8.786825,error_analysis_0_2_0,3.765917450980392,26.282491866185666,7810,165,5,0.97931,0.99936,0.989233
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.15,0.490218606,32.936905,0.127245579,126.890726,8.592169,error_analysis_0_3_0,3.725033725490196,26.329897735641,7472,98,343,0.987054,0.95611,0.971335
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,0.516912957,31.235982,0.120093215,134.447928,9.484257,error_analysis_0_4_0,10.713293921568628,21.74196962615662,7377,252,438,0.966968,0.943953,0.955321
compression_0_6_0,spring_-c_-l_-q_qvz_2,21.83101626,0.739602,0.586461195,27.531717,7.283612,error_analysis_0_6_0,0.1316280392156862,40.84771570736922,7810,3,5,0.999616,0.99936,0.999487
compression_0_7_0,spring_-c_-l_-q_qvz_4,23.912188111,0.675232,0.564612926,28.597085,7.188608,error_analysis_0_7_0,1.0392156862745098e-05,81.87414289153071,7815,0,0,1.0,1.0,1.0
compression_0_8_0,spring_-c_-l_-q_qvz_8,26.649505969,0.605875,0.570588353,28.297605,7.188608,error_analysis_0_8_0,0.0,inf,7815,0,0,1.0,1.0,1.0
