job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_10_0,fqzcomp_-Q_1,9.841028272,36.523726,1.441379769,249.365946,3.428125,error_analysis_0_10_0,,,23,3,3057,0.884615,0.007467,0.014808
compression_0_11_0,fqzcomp_-Q_2,9.219873093,38.984379,1.565972194,229.525805,3.90542,error_analysis_0_11_0,,,20,1,3060,0.95238,0.006493,0.012896
compression_0_12_0,fqzcomp_-Q_3,8.857542986,40.579089,0.796345892,451.350391,4.18598,error_analysis_0_12_0,,,15,1,3065,0.9375,0.00487,0.009688
compression_0_13_0,fqzcomp_-Q_5,8.405070624,42.763594,1.092814686,328.903916,4.279877,error_analysis_0_13_0,,,9,0,3071,1.0,0.002922,0.005826
compression_0_6_0,spring_-c_-l_-q_ill_bin,44.14560954,8.141942,32.429706949,11.083388,5.113328,error_analysis_0_6_0,6.125017356117982,24.17012658981708,2636,692,444,0.792067,0.855844,0.82272
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,13.516289857,26.592432,5.034809427,71.389202,2.613244,error_analysis_0_1_0,0.0836494028018524,42.81657137904863,3061,12,19,0.996095,0.993831,0.994961
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,12.298668769,29.225198,4.136756667,86.887157,3.77717,error_analysis_0_3_0,1.9786583169765597,29.077491777690323,2864,318,216,0.900062,0.92987,0.914722
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,12.37321865,29.049113,2.994746358,120.020524,5.561504,error_analysis_0_4_0,12.560223050202165,21.051226307856503,2525,3912,555,0.392263,0.819805,0.530628
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,12.802507348,28.075049,4.738630072,75.851253,3.109212,error_analysis_0_2_0,0.5342447710992358,34.763797024400546,2991,131,89,0.958039,0.971103,0.964526
compression_0_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,11.825642409,30.394207,2.815186916,127.675724,6.582671,error_analysis_0_5_0,22.83175398035861,18.455807065256973,2308,6943,772,0.249486,0.74935,0.374339
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,12.114061149,29.670564,4.874522244,73.736668,2.310763,error_analysis_0_0_0,0.0003068038083191,67.17259236499886,3080,0,0,1.0,1.0,1.0
compression_0_7_0,spring_-c_-l_-q_qvz_1,28125.997350485,0.012779,32.54611484,11.043746,4.001928,error_analysis_0_7_0,6.476357232430988,23.92789186460533,2638,433,442,0.859003,0.856493,0.857746
compression_0_8_0,spring_-c_-l_-q_qvz_2,28709.534542305,0.012519,35.469020236,10.133661,3.047337,error_analysis_0_8_0,1.5788075777250976,30.05790780465575,2822,200,258,0.933818,0.916233,0.92494
compression_0_9_0,spring_-c_-l_-q_qvz_4,29910.856869576,0.012016,37.186672769,9.665587,2.692052,error_analysis_0_9_0,0.0332537248993691,46.82279683012736,3057,4,23,0.998693,0.992532,0.995602
