job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_6_0,spring_-c_-l_-q_ill_bin,1.598911743,31.598715,0.79691903,63.398607,16.42417,error_analysis_0_6_0,9.0,22.498774732166,7603,1093,7,0.87431,0.99908,0.932539
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,1.768964562,28.56109,0.3961213,127.54567,20.795849,error_analysis_0_0_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,1.799180689,28.081424,0.401961666,125.692475,20.764055,error_analysis_0_1_0,0.00101436,61.979278676326494,7610,1,0,0.999868,1.0,0.999933
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,1.792756687,28.182049,0.397650668,127.055129,20.80598,error_analysis_0_2_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,1.703187007,29.664127,0.423123472,119.406178,20.76182,error_analysis_0_3_0,0.54783728,34.654684002520455,7411,56,199,0.9925,0.97385,0.983086
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,1.743525208,28.977818,0.398674791,126.728747,20.80508,error_analysis_0_4_0,3.53143,26.56169380567969,7605,638,5,0.9226,0.999342,0.959437
compression_0_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,1.741208491,29.016374,0.40417424,125.004396,21.220253,error_analysis_0_5_0,7.9254396,23.050966221056456,6234,10,1376,0.998398,0.819185,0.899955
compression_0_10_0,fqzcomp_-Q_1,0.952206897,53.059431,1.177546656,42.905779,11.064695,error_analysis_0_10_0,1.2901404,30.934830075292894,6925,1,685,0.999855,0.909986,0.952806
compression_0_11_0,fqzcomp_-Q_2,0.968956177,52.142251,1.200210261,42.095588,11.065962,error_analysis_0_11_0,3.66796768,26.396944823917185,6548,5,1062,0.999236,0.860446,0.924661
compression_0_12_0,fqzcomp_-Q_3,0.929111875,54.378335,1.101103492,45.884476,11.065962,error_analysis_0_12_0,7.88555808,23.072875478334044,6234,8,1376,0.998718,0.819185,0.900085
compression_0_13_0,fqzcomp_-Q_5,0.970465529,52.061155,1.032737038,48.921995,11.065885,error_analysis_0_13_0,21.38184736,18.740747577609767,5616,12,1994,0.997867,0.737976,0.848464
compression_0_7_0,spring_-c_-l_-q_qvz_1,123.260155213,0.409893,0.809082644,62.445483,16.42417,error_analysis_0_7_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_8_0,spring_-c_-l_-q_qvz_2,123.491228917,0.409126,0.786741247,64.218772,16.42417,error_analysis_0_8_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_9_0,spring_-c_-l_-q_qvz_4,124.204217202,0.406778,0.818960665,61.692287,16.42417,error_analysis_0_9_0,0.0,inf,7610,0,0,1.0,1.0,1.0
