job_id_x,Compressor_Name,Compression_Time,Compression_Throughput,Decompression_Time,Decompression_Throughput,Ratio,job_id_y,MSE_v3,PSNR_v3,True_Positives(TP),False_Positives(FP),False_Negatives(FN),Precision,Recall,F1_Score
compression_0_6_0,spring_-c_-l_-q_ill_bin,1.268182965,39.839327,0.798978031,63.235226,16.42417,error_analysis_0_6_0,9.0,22.498774732166,7603,1093,7,0.87431,0.99908,0.932539
compression_0_10_0,fqzcomp_-Q_1,0.966935858,52.251198,1.177125941,42.921114,11.064695,error_analysis_0_10_0,1.2901404,30.934830075292894,15,1,174077,0.9375,8.6e-05,0.00017
compression_0_0_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.01,1.758175354,28.736358,0.401810125,125.73988,20.795849,error_analysis_0_0_0,0.0,inf,7502,2,1,0.999733,0.999866,0.999799
compression_0_1_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.02,1.841030667,27.443082,0.403477435,125.220279,20.764055,error_analysis_0_1_0,0.00101436,61.979278676326494,7610,1,0,0.999868,1.0,0.999933
compression_0_2_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.05,1.805207398,27.987674,0.394784029,127.977712,20.80598,error_analysis_0_2_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_3_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.1,1.698093308,29.75311,0.404451548,124.918688,20.76182,error_analysis_0_3_0,0.54783728,34.654684002520455,7411,56,199,0.9925,0.97385,0.983086
compression_0_4_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.3,1.807048985,27.959151,0.391989275,128.890151,20.80508,error_analysis_0_4_0,3.53143,26.56169380567969,7605,638,5,0.9226,0.999342,0.959437
compression_0_5_0,SZ3_-f_-1_{Binary_length}_-M_REL_0.5,1.711803302,29.514814,0.397987621,126.947559,21.220253,error_analysis_0_5_0,7.9254396,23.050966221056456,157177,49477,16915,0.76058,0.902838,0.825625
compression_0_11_0,fqzcomp_-Q_2,0.981203029,51.49144,1.078880134,46.829629,11.065962,error_analysis_0_11_0,3.66796768,26.396944823917185,6548,5,1062,0.999236,0.860446,0.924661
compression_0_12_0,fqzcomp_-Q_3,0.938325216,53.844398,1.188379661,42.514659,11.065962,error_analysis_0_12_0,7.88555808,23.072875478334044,6234,8,1376,0.998718,0.819185,0.900085
compression_0_13_0,fqzcomp_-Q_5,0.956274345,52.833747,1.195869849,42.248374,11.065885,error_analysis_0_13_0,21.38184736,18.740747577609767,5616,12,1994,0.997867,0.737976,0.848464
compression_0_7_0,spring_-c_-l_-q_qvz_1,124.584841502,0.405535,0.823715565,61.336168,16.42417,error_analysis_0_7_0,0.0,inf,7498,0,5,1.0,0.999333,0.999666
compression_0_8_0,spring_-c_-l_-q_qvz_2,124.407333968,0.406113,0.733417356,68.887866,16.42417,error_analysis_0_8_0,0.0,inf,7610,0,0,1.0,1.0,1.0
compression_0_9_0,spring_-c_-l_-q_qvz_4,124.015272814,0.407397,0.783532276,64.481781,16.42417,error_analysis_0_9_0,0.0,inf,7610,0,0,1.0,1.0,1.0
